n_qubits,window,mean_mae,std_mae,mean_rmse,std_rmse,mean_wape,std_wape,mean_smape,std_smape,rank_mean_mae,rank_mean_rmse,rank_mean_wape,rank_mean_smape,avg_rank
12,3,425.093247772152,,513.6930888887798,,0.1962965418314615,,0.22092667684465753,,1.0,2.0,1.0,1.0,1.25
16,7,430.7113517706721,,513.8586214657407,,0.19889083000785263,,0.2241898058050319,,3.0,3.0,3.0,4.0,3.25
6,3,439.07857580155365,,511.6029921799169,,0.20275458731427662,,0.22424022068341604,,5.0,1.0,5.0,5.0,4.0
5,5,429.11555901059216,,527.0040021932161,,0.1981539361570915,,0.22314035032075885,,2.0,13.0,2.0,3.0,5.0
7,9,441.1227256705775,,520.2662706255875,,0.20369852032750974,,0.22850465484941443,,6.0,6.0,6.0,7.0,6.25
14,7,441.2864160243511,,525.3248494271749,,0.20377410809688817,,0.22685583152317873,,7.0,7.0,7.0,6.0,6.75
12,9,444.7355422742868,,525.3382082580863,,0.20536682112808968,,0.23052727821363905,,8.0,8.0,8.0,8.0,8.0
6,5,445.6719898328893,,516.3348507263613,,0.2057992472330057,,0.23078072106340974,,10.0,4.0,10.0,10.0,8.5
16,5,445.4584070719612,,519.1544424408014,,0.20570062050208315,,0.23225706375413604,,9.0,5.0,9.0,12.0,8.75
14,3,437.0513767479261,,545.5878998233934,,0.20181848172822792,,0.22125041538067577,,4.0,30.0,4.0,2.0,10.0
6,7,446.5614730096943,,525.9321668890484,,0.20620998645913816,,0.2306550487068131,,11.0,10.0,11.0,9.0,10.25
5,11,449.9894996061063,,529.932659979697,,0.2077929562421412,,0.23264592053905642,,13.0,15.0,13.0,13.0,13.5
7,7,446.8049562501051,,537.0541632661337,,0.2063224204211854,,0.23116520323647963,,12.0,22.0,12.0,11.0,14.25
6,9,450.30971089242604,,532.5488402975247,,0.20794082113646592,,0.2328410574049858,,14.0,18.0,14.0,15.0,15.25
14,13,452.2163956223379,,530.147958434634,,0.20882127647375032,,0.2342787132346841,,16.0,16.0,16.0,17.0,16.25
8,9,451.2361840688178,,540.5173078848599,,0.20836864134198183,,0.23267393763649807,,15.0,25.0,15.0,14.0,17.25
12,13,453.33964830969603,,526.4339485475231,,0.20933996412472303,,0.23558685220785555,,19.0,11.0,19.0,23.0,18.0
10,13,452.69232941130775,,539.4900584700454,,0.20904104979973268,,0.23448869792893134,,17.0,24.0,17.0,19.0,19.25
6,13,452.7392322141991,,533.8865281945506,,0.20906270824304604,,0.23533233000492204,,18.0,20.0,18.0,21.0,19.25
16,13,454.22193484752853,,531.2096519523225,,0.2097473801380063,,0.23433290486345082,,21.0,17.0,21.0,18.0,19.25
6,11,454.54899932737277,,527.7127158381431,,0.20989840965137968,,0.23457395504004236,,22.0,14.0,22.0,20.0,19.5
8,5,455.83268536520063,,526.9489961813957,,0.21049118107586956,,0.23421789832482148,,25.0,12.0,25.0,16.0,19.5
10,11,453.97617654014675,,533.8677470188196,,0.20963389561168597,,0.23540721764744596,,20.0,19.0,20.0,22.0,20.25
7,5,456.90374530921594,,525.773547931388,,0.21098576753238532,,0.23620970196064725,,26.0,9.0,26.0,24.0,21.25
16,9,455.1833805770211,,543.5736675702447,,0.2101913497207911,,0.23663832251108727,,24.0,27.0,24.0,25.0,25.0
10,3,454.6118212480846,,541.3745497024993,,0.20992741911189586,,0.23884383724841338,,23.0,26.0,23.0,29.0,25.25
8,13,458.88880792111974,,536.3450064454119,,0.2119024156515399,,0.23748879663330125,,28.0,21.0,28.0,28.0,26.25
5,7,464.8295599796484,,545.2177442174575,,0.21464569395830888,,0.2400878993081213,,31.0,28.0,31.0,31.0,30.25
12,7,457.63314879874355,,568.3752028576259,,0.21132258629707862,,0.23694655205961648,,27.0,44.0,27.0,26.0,31.0
14,11,460.47310489945386,,549.4151220282029,,0.21263400106182548,,0.23964560849962507,,29.0,36.0,29.0,30.0,31.0
8,7,461.88354285270105,,559.546931791424,,0.21328530308589025,,0.23740165309479494,,30.0,42.0,30.0,27.0,32.25
10,9,466.06785798261456,,545.8626687387172,,0.21521750641831142,,0.2422348152283198,,32.0,31.0,32.0,34.0,32.25
7,11,467.4882239982868,,546.241232787318,,0.21587339295255445,,0.2414799137418324,,34.0,32.0,34.0,32.0,33.0
5,9,466.87501477764715,,548.5366316146999,,0.2155902295523791,,0.24251912190598462,,33.0,35.0,33.0,35.0,34.0
8,11,467.8937543435843,,553.2854092763275,,0.21606065587617604,,0.24213569953901093,,35.0,38.0,35.0,33.0,35.25
16,11,474.8911075122445,,538.2031054578204,,0.21929184394180637,,0.24495927053253297,,41.0,23.0,41.0,40.0,36.25
12,5,469.0210563456379,,553.2769653539032,,0.21658121339093903,,0.2445368422529311,,36.0,37.0,36.0,39.0,37.0
