n_qubits,window,seed,mae,rmse,wape,smape
12,3,3,470.5956050615802,569.4508224967851,0.21730829731782916,0.24686888679934424
12,3,7,425.093247772152,513.6930888887798,0.1962965418314615,0.22092667684465753
12,3,11,445.81501624517665,538.5721088122772,0.20586529295419673,0.2280053900053036
16,7,3,501.11110267263456,597.5862609795587,0.2313995271473061,0.2622486392649271
16,7,7,430.7113517706721,513.8586214657407,0.19889083000785263,0.2241898058050319
16,7,11,465.4698357109959,545.9097482893226,0.214941355939629,0.2411838402095319
6,3,3,481.5731520438998,578.742306103764,0.22237743102370428,0.24779380266603926
6,3,7,439.07857580155365,511.6029921799169,0.20275458731427662,0.22424022068341604
6,3,11,482.888230451304,580.5234839167105,0.22298469859373407,0.24931315557380102
5,5,3,460.827127249249,529.5378571443915,0.21279747898898624,0.23740302501387056
5,5,7,429.11555901059216,527.0040021932161,0.1981539361570915,0.22314035032075885
5,5,11,463.8885039700639,551.5903200745308,0.21421113979561804,0.2401589633510911
7,9,3,481.1331777769938,564.6477332429549,0.2221742628305111,0.2497282634253578
7,9,7,441.1227256705775,520.2662706255875,0.20369852032750974,0.22850465484941443
7,9,11,453.918982333255,530.8230706292969,0.20960748487690134,0.23567276180097835
14,7,3,427.65197373357927,506.03221550943107,0.19747809213919956,0.22291266369530743
14,7,7,441.2864160243511,525.3248494271749,0.20377410809688817,0.22685583152317873
14,7,11,441.517294795369,535.1246459672622,0.2038807216565498,0.22980437043388965
12,9,3,430.4311741620829,514.896669370395,0.19876145158099479,0.22234522711025625
12,9,7,444.7355422742868,525.3382082580863,0.20536682112808968,0.23052727821363905
12,9,11,460.0167747276616,533.8909223029927,0.21242328015499942,0.23891055427073352
6,5,3,472.97220764214177,560.4918808400384,0.21840574798381104,0.243554254004887
6,5,7,445.6719898328893,516.3348507263613,0.2057992472330057,0.23078072106340974
6,5,11,469.89863763349575,548.32787867941,0.2169864566472959,0.24415916367526858
