n_qubits,window,seed,mae,rmse,wape,smape
3,3,3,463.39149473336545,548.4203419981714,0.21398163439901738,0.23856488352450186
3,3,7,467.23846360253793,549.5759400306599,0.21575806037028242,0.24327693738461123
3,3,11,443.1345782756833,532.0051365216138,0.2046275393395185,0.23021011695428736
3,3,17,484.45342348285357,563.996082048303,0.22370746231910982,0.24719806753643264
3,3,23,536.4565268607276,611.8291564807438,0.2477210861794731,0.27795429687748147
3,5,3,474.1224472656244,557.3390703302563,0.21893689747054246,0.24606565532976185
3,5,7,460.2119025408718,549.2817127207192,0.21251338489119329,0.24014187360309017
3,5,11,457.03134140433457,538.5951804214483,0.21104468795126816,0.23487899347194616
3,5,17,477.7037558923519,556.491518937241,0.22059064874121564,0.24563101989966832
3,5,23,452.89045320321384,523.6726138981365,0.20913253799769752,0.23370428227777243
3,7,3,442.9547183223191,526.5289799689455,0.20454448488724386,0.22893604419739705
3,7,7,470.16609818279613,547.98202994943,0.2171099626808054,0.24215420646846048
3,7,11,453.5525154210958,530.5327829628203,0.20943826038808738,0.23499026232702885
3,7,17,466.88348473976663,558.1446655628224,0.21559414075135067,0.2412308912060568
3,7,23,441.1284691579783,532.4978950012535,0.20370117251434341,0.22858453369614287
3,9,3,440.8600786123452,524.2701575695108,0.20357723703373032,0.2276445137417286
3,9,7,451.04397913710113,521.6432198404651,0.20827988631325187,0.23428314713756854
3,9,11,451.5512788511857,540.4367362869933,0.2085141435734384,0.23254124733970888
3,9,17,464.043572925329,550.107395986765,0.2142827464368044,0.240659675398944
3,9,23,452.0413890810023,528.8458008195333,0.20874046319562345,0.23501836047274732
4,3,3,518.0389063749461,616.1159201696647,0.23921632815503843,0.2648911500997678
4,3,7,491.10417658642143,605.7212302024238,0.22677859986751184,0.2509260440713786
4,3,11,497.75586083693804,573.4033387748912,0.22985016739434083,0.25915309556475835
4,3,17,511.54865064158747,590.4522236374355,0.23621930394273438,0.2632505528528572
4,3,23,455.67285437333794,526.2330426129956,0.21041737545523323,0.23473466109475613
4,5,3,481.01425204754025,562.5693845768936,0.2221193461515263,0.24905692911696542
4,5,7,461.0453491648426,543.3900869331584,0.21289824795581264,0.23795716585793375
4,5,11,476.8401542708682,568.9395788265576,0.22019186091594264,0.2465570188239119
4,5,17,449.5203628585947,531.5234112301773,0.20757632160570508,0.2337042352507311
4,5,23,473.88987574206226,553.096020423674,0.21882950224362935,0.2444728668075384
4,7,3,467.8077031836862,549.0319638121478,0.21602091978251398,0.24161841309249976
4,7,7,467.70123484117266,549.1832384732896,0.21597175558722398,0.24239395855720194
