n_qubits,window,mean_mae,std_mae,mean_rmse,std_rmse,mean_wape,std_wape,mean_smape,std_smape,rank_mean_mae,rank_mean_rmse,rank_mean_wape,rank_mean_smape,avg_rank
6,7,444.38147096286247,10.838462823119517,522.2613465908408,14.435948587053,0.20520332059177543,0.005004908410325031,0.23056672014854024,0.005291517912142741,1.0,1.0,1.0,1.0,1.0
8,5,450.35435044109215,30.191196007876,530.3727723215173,41.309209424733154,0.2079614344703121,0.013941476137674196,0.23319743595033512,0.01511519955251622,2.0,2.0,2.0,3.0,2.25
8,9,450.37382314262595,14.222516902364951,532.0071877509365,15.045192627855334,0.20797042643617186,0.006567572876551914,0.23205632696543826,0.007703267607624068,3.0,4.0,3.0,2.0,3.0
4,9,451.40438100536295,11.911674853564959,530.8888799661379,13.787372880377571,0.20844631012915618,0.005500488642032875,0.23349458149496805,0.006180834736933016,4.0,3.0,4.0,4.0,3.75
3,9,451.9080597213927,8.219189009148206,533.0606621006535,11.941457405632608,0.20867889531056968,0.0037953987451236214,0.23402938881813945,0.004689998751681392,5.0,5.0,5.0,6.0,5.25
5,9,451.9946962238429,12.452241618933437,534.4461019279072,10.530607572264971,0.20871890169955956,0.005750107724968096,0.23394811650321765,0.006283268187987417,7.0,6.0,7.0,5.0,6.25
7,7,451.9437293954312,17.595488351334566,541.1898056417442,17.798162299176727,0.20869536659939564,0.008125119684455754,0.23425445295755037,0.00877096351851432,6.0,11.0,6.0,7.0,7.5
5,7,453.5972534709432,21.314290196884087,540.2070763636524,24.862308399325272,0.20945891920710968,0.009842361597526793,0.2346833534978631,0.01049232389101758,8.0,10.0,8.0,8.0,8.5
3,7,454.93705716479116,13.330522540864234,539.1372706890543,13.38467724394954,0.21007760424436617,0.006155674053379831,0.23517918757901723,0.006476418708801004,9.0,9.0,9.0,9.0,9.0
5,5,455.79093223061426,16.194870011413855,538.9929571334787,11.9949774387076,0.21047190060982385,0.007478352091714497,0.23547836235670566,0.0073605027672561715,10.0,8.0,10.0,10.0,9.5
6,9,456.0174045029876,10.722047684950313,538.0147555312808,9.868038117800094,0.21057647936782717,0.004951151054358526,0.23555624167472042,0.005741146768609745,11.0,7.0,11.0,11.0,10.0
4,7,457.5559326875256,16.89594673805407,543.0935097310746,19.34786616276844,0.21128692998946802,0.007802090324959169,0.23702889218781423,0.008068955407126297,12.0,12.0,12.0,12.0,12.0
8,7,460.29380318899786,16.865130030942293,545.9005418989227,21.672815037365666,0.21255120439099748,0.007787860004745019,0.23785811103094412,0.008194452792055835,13.0,15.0,13.0,13.0,13.5
7,9,461.2877119380393,15.501319844698108,545.2321935886414,18.90216066577685,0.21301016451646496,0.007158089419873818,0.23922982605057208,0.008310808207864485,14.0,14.0,14.0,14.0,14.0
6,5,464.224734495787,12.397533435955046,546.8974213357949,20.882304808004648,0.21436640194057924,0.005724844968655644,0.23993434326997845,0.006750940936953246,15.0,16.0,15.0,15.0,15.25
3,5,464.39198006127924,10.906678428525929,545.0760192615602,14.128791040406307,0.21444363141038342,0.005036408528264777,0.24008436491644777,0.005795383294310368,16.0,13.0,16.0,16.0,15.25
7,5,464.5681427252581,16.976927525592565,548.8353913225588,26.18165619905014,0.21452497855461608,0.007839485058072207,0.24034234524999992,0.008589583988727887,17.0,17.0,17.0,17.0,17.0
7,3,465.8337935432681,32.10998545234584,554.8952387991709,39.0215079785279,0.21510942180334697,0.014827521104104792,0.24055617705784949,0.017923272445672305,18.0,19.0,18.0,18.0,18.25
4,5,468.4619988167816,12.951898149788825,551.9036963980922,14.943538743156203,0.21632305577452318,0.005980835570268973,0.24234964317141613,0.006348911487610812,19.0,18.0,19.0,19.0,18.75
6,3,475.27208224370077,20.828426661292102,563.9447688496596,30.138592467261923,0.2194677677484111,0.009618002983649598,0.2450577974823705,0.012301271271877521,20.0,21.0,20.0,20.0,20.25
3,3,478.93489739103353,35.352718302072816,561.1653314158984,30.503696634813764,0.22115915652148024,0.016324927256332986,0.2474408604554629,0.018194425616822364,21.0,20.0,21.0,21.0,20.75
8,3,485.6171147555559,23.512497364799877,577.9853400371594,29.430836769685836,0.2242448234129124,0.01085743409644891,0.25022719103147123,0.01219650251835229,22.0,22.0,22.0,22.0,22.0
4,3,494.8240897626462,24.361295712235115,582.3851510794822,35.288621641435874,0.22849635496297177,0.011249386170933753,0.2545911007367036,0.012345037062105796,23.0,24.0,23.0,23.0,23.25
5,3,495.70062939951583,46.768786007162134,581.9311324770347,46.221320281013455,0.22890111721313092,0.021596557948110027,0.25698184687725967,0.02476910609584283,24.0,23.0,24.0,24.0,23.75
